ID,Name,Credit Hours
ARCH 6507,Parametric Modeling and Design,3
ARCH 6508,Shape Grammars,3
ARCH 6509,"Computation, Creativity and Design Cognition",3
ARCH 6511,Robotic Fabrication,3
ARCH 6512,Research Colloquium,3
ARCH 6513,Building Systems & Data,3
ARCH 6531,Environmental Systems I,3
ARCH 6532,Environmental Systems II,3
ARCH 6731,Zero Energy House,3
ARCH 6XXX,Architecture Elective,1
ARCH 7000,Master's Thesis,1
ARCH 7012,Urban Design Studio I,6
ARCH 7013,Urban Design Studio 1,6
ARCH 7014,Urban Design Studio 2,6
ARCH 7015,Urban Design Studio 3,6
ARCH 7030,Media + Modeling 3,3
ARCH 7042,Urban Design Workshop,3
ARCH 7043,Urban Design Workshop,4
ARCH 7044,Urban Design Workshop,5
ARCH 7045,Urban Design Workshop,6
ARCH 7060,Critical Positions in Architectural Design,3
ARCH 7151,History of Urban Form,3
ARCH 7252,Computational Building Simulation,3
ARCH 7471,Cognitive Function of Visual Design in Architecture,3
ARCH 7625,Theories of Inquiry,3
ARCH 8100,Introduction to Architectural Research 1,3
ARCH 8101,Introduction to Architectural Research 2,3
ARCH 8102,Introduction to Architectural Research 3,3
ARCH 8630,Architecture Space & Culture,3
ARCH 8685,Building Simulation Seminar,3
ARCH 8799,Qualifying Paper,1
ARCH 8801,Special Topics,1
ARCH 8802,Special Topics,2
ARCH 8803,Special Topics,3
ARCH 8804,Special Topics,4
ARCH 8805,Special Topics,5
ARCH 8806,Special Topics,6
ARCH 8811,Special Topics: Architectural Design,1
ARCH 8812,Special Topics: Architectural Design,2
ARCH 8813,Special Topics: Architectural Design,3
ARCH 8814,Special Topics: Architectural Design,4
